Measurand,Nominal value,Tolerance 1 -d,Tolerance 1 +d,Tolerance 2 -d,Tolerance 2 +d,Tolerance 3 -d,Tolerance 3 +d
NLSTS0214_L_BA,808.36,-0.47,0.47,-0.94,0.94,-1.42,1.42
NLSTS0225_O_BA,2529.46,,,,,,
NLSTS0225_O_BA,-810.29,-0.67,0.67,-1.34,1.34,-2,2
NLSTS0225_O_BA,680.8,-1,1,-2,2,-2.99,2.99
NLSTS0215_V_BA,2606.75,-0.92,0.92,-1.84,1.84,-2.75,2.75
NLSTS0215_V_BA,-708.66,-0.38,0.38,-0.76,0.76,-1.13,1.13
NLSTS0215_V_BA,809.35,-0.68,0.68,-1.36,1.36,-2.04,2.04
NLSTS0226_V_BA,2525.35,-1.06,1.06,-2.12,2.12,-3.19,3.19
NLSTS0226_V_BA,-807.33,,,,,,
NLSTS0226_V_BA,679.05,-0.55,0.55,-1.1,1.1,-1.64,1.64
NLSTS0156_U_BA,2939.35,-0.51,0.51,-1.02,1.02,-1.54,1.54
NLSTS0156_U_BA,-859.58,,,,,,
NLSTS0156_U_BA,377.1,-1.08,1.08,-2.16,2.16,-3.25,3.25
NLSTS0150_U_BA,3207.06,-0.52,0.52,-1.04,1.04,-1.55,1.55
NLSTS0150_U_BA,-802.71,,,,,,
NLSTS0150_U_BA,501.65,-1.08,1.08,-2.16,2.16,-3.24,3.24
NLSTS0144_U_BA,3182.22,-0.74,0.74,-1.48,1.48,-2.22,2.22
NLSTS0144_U_BA,-793.15,,,,,,
NLSTS0144_U_BA,562.04,-0.94,0.94,-1.88,1.88,-2.83,2.83
NLSTS0140_U_BA,3278.24,-0.63,0.63,-1.26,1.26,-1.9,1.9
NLSTS0140_U_BA,-755.22,,,,,,
NLSTS0140_U_BA,626.28,-1.02,1.02,-2.04,2.04,-3.05,3.05
NLSTS0126_U_BA,3497.66,,,,,,
NLSTS0126_U_BA,-627.27,,,,,,
NLSTS0126_U_BA,659.57,-1.2,1.2,-2.4,2.4,-3.59,3.59
NLSTS0124_R_BA,3506.2,,,,,,
NLSTS0124_R_BA,-608.08,-1.18,1.18,-2.36,2.36,-4.14,2.95
NLSTS0124_R_BA,667.2,,,,,,
NLSTS0112_R_BA,3479.08,,,,,,
NLSTS0112_R_BA,-614,-1.18,1.18,-2.36,2.36,-4.14,2.94
NLSTS0112_R_BA,736.98,,,,,,
NLSTS0110_R_BA,3449.67,,,,,,
NLSTS0110_R_BA,-616.47,-1.18,1.18,-2.36,2.36,-4.13,2.93
NLSTS0110_R_BA,746.16,,,,,,
NLSTS0104_R_BA,3197.39,,,,,,
NLSTS0104_R_BA,-631.12,-1.18,1.18,-2.36,2.36,-4.14,2.94
NLSTS0104_R_BA,783.08,,,,,,
NLSTS0155_L_BA,2938.7,,,,,,
NLSTS0155_L_BA,-862.09,-1.16,1.16,-2.32,2.32,-3.49,3.49
NLSTS0155_L_BA,380,,,,,,
NLSTS0149_L_BA,3206.24,,,,,,
NLSTS0149_L_BA,-805.25,-1.18,1.18,-2.36,2.36,-3.53,3.53
NLSTS0149_L_BA,504.49,,,,,,
NLSTS0143_L_BA,3181.04,,,,,,
NLSTS0143_L_BA,-795.23,-1.12,1.12,-2.24,2.24,-3.36,3.36
NLSTS0143_L_BA,564.69,-0.41,0.41,-0.82,0.82,-1.22,1.22
NLSTS0139_L_BA,3277.32,,,,,,
NLSTS0139_L_BA,-757.23,-1.1,1.1,-2.2,2.2,-3.31,3.31
NLSTS0139_L_BA,629.1,-0.45,0.45,-0.9,0.9,-1.34,1.34
NLSTS0125_H_BA,3499.26,-0.92,0.92,-1.84,1.84,-2.75,2.75
NLSTS0125_H_BA,-628.31,-0.63,0.63,-1.26,1.26,-1.88,1.88
NLSTS0125_H_BA,662.63,-0.45,0.45,-0.9,0.9,-1.36,1.36
NRSTS0126_U_BA,3497.66,,,,,,
NRSTS0126_U_BA,627.27,,,,,,
NRSTS0126_U_BA,659.57,-1.2,1.2,-2.4,2.4,-3.59,3.59
NRSTS0124_L_BA,3506.2,,,,,,
NRSTS0124_L_BA,608.08,-1.18,1.18,-2.36,2.36,-2.94,4.14
NRSTS0124_L_BA,667.2,,,,,,
NRSTS0112_L_BA,3479.08,,,,,,
NRSTS0112_L_BA,614,-1.18,1.18,-2.36,2.36,-2.94,4.14
NRSTS0112_L_BA,736.98,,,,,,
NRSTS0110_L_BA,3449.67,,,,,,
NRSTS0110_L_BA,616.47,-1.18,1.18,-2.36,2.36,-2.93,4.13
NRSTS0110_L_BA,746.16,,,,,,
NRSTS0104_L_BA,3197.39,,,,,,
NRSTS0104_L_BA,631.12,-1.18,1.18,-2.36,2.36,-2.94,4.14
NRSTS0104_L_BA,783.08,,,,,,
NRSTS0155_R_BA,2938.7,,,,,,
NRSTS0155_R_BA,862.09,-1.16,1.16,-2.32,2.32,-3.49,3.49
NRSTS0155_R_BA,380,,,,,,
NRSTS0149_R_BA,3206.24,,,,,,
NRSTS0149_R_BA,805.25,-1.18,1.18,-2.36,2.36,-3.53,3.53
NRSTS0149_R_BA,504.49,,,,,,
NRSTS0143_R_BA,3181.04,,,,,,
NRSTS0143_R_BA,795.23,-1.12,1.12,-2.24,2.24,-3.36,3.36
NRSTS0143_R_BA,564.69,-0.41,0.41,-0.82,0.82,-1.22,1.22
NRSTS0139_R_BA,3277.32,,,,,,
NRSTS0139_R_BA,757.23,-1.1,1.1,-2.2,2.2,-3.31,3.31
NRSTS0139_R_BA,629.1,-0.45,0.45,-0.9,0.9,-1.34,1.34
NRSTS0125_H_BA,3499.26,-0.92,0.92,-1.84,1.84,-2.75,2.75
NRSTS0125_H_BA,628.31,-0.63,0.63,-1.26,1.26,-1.88,1.88
NRSTS0125_H_BA,662.63,-0.45,0.45,-0.9,0.9,-1.36,1.36
NRSTS0123_H_BA,3507.78,-0.94,0.94,-1.88,1.88,-2.82,2.82
NRSTS0123_H_BA,611.28,-0.58,0.58,-1.16,1.16,-1.73,1.73
NRSTS0123_H_BA,667.74,-0.47,0.47,-0.94,0.94,-1.42,1.42
NRSTS0111_O_BA,3480.26,-0.7,0.7,-1.4,1.4,-2.09,2.09
NRSTS0111_O_BA,617.21,-0.55,0.55,-1.1,1.1,-1.66,1.66
