Measurand,Direction,Nominal value,Tolerance 1 -d,Tolerance 1 +d,Tolerance 2 -d,Tolerance 2 +d,Tolerance 3 -d,Tolerance 3 +d
NLSTS0138_U_BA,X,3322.59,-0.51,0.51,-1.02,1.02,-1.54,1.54
NLSTS0138_U_BA,Y,-745.14,,,,,,
NLSTS0138_U_BA,Z,650.38,-1.08,1.08,-2.16,2.16,-3.25,3.25
NLSTS0143_L_BA,X,3181.04,,,,,,
NLSTS0143_L_BA,Y,-795.23,,,,,,
NLSTS0143_L_BA,Z,564.69,,,,,,
NRSTS0023_R_AA,X,1300,,,,,,
NRSTS0023_R_AA,Y,746.3,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSTS0023_R_AA,Z,-63.5,,,,,,
NLSTS0129_L_BA,X,3446.3,-0.76,0.76,-1.52,1.52,-2.27,2.27
NLSTS0129_L_BA,Y,-689.41,-0.83,0.83,-1.66,1.66,-2.5,2.5
NLSTS0129_L_BA,Z,663.55,,,,,,
NRSTS0304_H_CA,X,3281.63,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSTS0304_H_CA,Y,726.3,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSTS0304_H_CA,Z,602.21,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLSTS0022_L_AA,X,2190,,,,,,
NLSTS0022_L_AA,Y,-744.95,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLSTS0022_L_AA,Z,-63,,,,,,
NRSTS0263_O_BA,X,505.44,,,,,,
NRSTS0263_O_BA,Y,853.35,,,,,,
NRSTS0263_O_BA,Z,-12.01,-1.18,1.18,-2.36,2.36,-3.54,3.54
PP_L_1,X,3538.74,-0.5,0.5,-1,1,-7,1.5
PP_L_1,Y,-467.52,,,,,,
PP_L_1,Z,299.82,,,,,,
PP_R_4,X,3575,-0.5,0.5,-1,1,-1.5,1.5
PP_R_4,Y,136,,,,,,
PP_R_4,Z,343,,,,,,
NRSTS0279_R_BA,X,2864.33,,,,,,
NRSTS0279_R_BA,Y,866.41,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSTS0279_R_BA,Z,339.09,,,,,,
NRSLA0032_H_AA,X,3402,-1.16,1.16,-2.32,2.32,-3.48,3.48
NRSLA0032_H_AA,Y,705.59,-0.31,0.31,-0.62,0.62,-0.93,0.93
NRSLA0032_H_AA,Z,422.52,,,,,,
112R-112L-DY,Y,1228,-0.4,1.6,-0.8,3.2,-1.8,4.2
112R-112L-DY,XRV,0,,,,,,
112R-112L-DY,YRV,0,,,,,,
112R-112L-DY,ZRV,0,,,,,,
112R-112L-DY,XLV,0,,,,,,
112R-112L-DY,YLV,0,,,,,,
112R-112L-DY,ZLV,0,,,,,,
NRDAA0048_ORAA,X,1622.37,,,,,,
NRDAA0048_ORAA,Y,544.97,,,,,,
NRDAA0048_ORAA,Z,1140.77,-1.13,1.13,-1.19,1.19,-3.56,3.56
NLDAA0027_O_BA,X,2490.78,,,,,,
NLDAA0027_O_BA,Y,0,,,,,,
NLDAA0027_O_BA,Z,1083.68,-1.09,1.09,-1.15,1.15,-3.44,3.44
NLSTS0144_U_BA,X,3182.22,-0.74,0.74,-1.48,1.48,-2.22,2.22
NLSTS0144_U_BA,Y,-793.15,,,,,,
NLSTS0144_U_BA,Z,562.04,-0.94,0.94,-1.88,1.88,-2.83,2.83
NLSTS0110_R_BA,X,3449.67,,,,,,
NLSTS0110_R_BA,Y,-616.47,-1.12,1.12,-1.18,1.18,-4.13,2.93
NLSTS0110_R_BA,Z,746.16,,,,,,
NRSTD0018_O_BA,X,3322.63,,,,,,
NRSTD0018_O_BA,Y,589.96,,,,,,
NRSTD0018_O_BA,Z,725.97,-1.19,1.19,-2.38,2.38,-3.56,3.56
NRSTS0123_H_BA,X,3507.78,-0.89,0.89,-0.94,0.94,-2.82,2.82
NRSTS0123_H_BA,Y,611.28,-0.55,0.55,-0.58,0.58,-1.73,2.7
NRSTS0123_H_BA,Z,667.74,-0.45,0.45,-0.47,0.47,-1.42,1.42
NLSTS0205_L_BA,X,2053.49,,,,,,
NLSTS0205_L_BA,Y,-598.77,-1.01,1.01,-2.02,2.02,-3.02,3.02
NLSTS0205_L_BA,Z,1084.64,,,,,,
HLSTI0003,X,914.25,-0.38,0.38,-0.5,0.5,-1.5,1.5
HLSTI0003,Y,-601.68,-0.38,0.38,-0.5,0.5,-1.5,1.5
HLSTI0003,Z,981.14,-0.38,0.38,-0.5,0.5,-1.5,1.5
NRSTS0212_R_BA,X,2547.21,,,,,,
NRSTS0212_R_BA,Y,653.46,,,,,,
NRSTS0212_R_BA,Z,938.76,-0.6,0.6,-1.2,1.2,-1.8,1.8
RPS5_ALN2,X,3209.51,-0.15,0.15,-0.2,0.2,-0.6,0.6
RPS5_ALN2,Y,-495.08,-0.15,0.15,-0.2,0.2,-0.6,0.6
RPS5_ALN2,Z,125.14,-0.15,0.15,-0.2,0.2,-0.6,0.6
NLDAS0009KO_BA,X,1275.7,,,,,,
NLDAS0009KO_BA,Y,-416.93,,,,,,
NLDAS0009KO_BA,Z,1135.08,-0.99,0.99,-1.98,1.98,-2.97,2.97
NLSLA9051_H_LE,X,3401.97,-1,1,-2,2,-3,3
NLSLA9051_H_LE,Y,-702.99,-1,1,-2,2,-3,3
NLSLA9051_H_LE,Z,470,-1,1,-2,2,-3,3
NLDAA0024_O_BA,X,977.85,,,,,,
NLDAA0024_O_BA,Y,-565.74,,,,,,
NLDAA0024_O_BA,Z,1056.29,-1.06,1.06,-1.12,1.12,-3.37,3.37
143L-304L-DX/DY,X,100.59,,,,,,
143L-304L-DX/DY,Y,68.93,0,1,0,2,-1,2
143L-304L-DX/DY,XRV,0,,,,,,
143L-304L-DX/DY,YRV,0,,,,,,
143L-304L-DX/DY,ZRV,0,,,,,,
143L-304L-DX/DY,XLV,0,,,,,,
143L-304L-DX/DY,YLV,0,,,,,,
143L-304L-DX/DY,ZLV,0,,,,,,
NLABS0006_V_LD,X,3554.53,-1.2,1.2,-2.4,2.4,-7,3.6
NLABS0006_V_LD,Y,-380,-1.2,1.2,-2.4,2.4,-3.6,3.6
NLABS0006_V_LD,Z,314,-1.2,1.2,-2.4,2.4,-3.6,3.6
NRSTD0017_R_BA,X,3322.92,,,,,,
NRSTD0017_R_BA,Y,585.13,-1.19,1.19,-2.38,2.38,-3.57,3.57
NRSTD0017_R_BA,Z,731.7,,,,,,
NLSTS0280_U_BA,X,2865.65,,,,,,
NLSTS0280_U_BA,Y,-863.71,,,,,,
NLSTS0280_U_BA,Z,336.71,-1.03,1.03,-2.06,2.06,-3.1,3.1
NLSTS0017_L_AA,X,3185.51,,,,,,
NLSTS0017_L_AA,Y,-809.23,-1.18,1.18,-2.36,2.36,-3.53,3.53
NLSTS0017_L_AA,Z,495.9,,,,,,
NLDAA0034_H_BA,X,2448.31,-1.06,1.06,-1.12,1.12,-3.35,3.35
NLDAA0034_H_BA,Y,-530.22,,,,,,
NLDAA0034_H_BA,Z,1059.92,,,,,,
NRDAS0007KO_BA,X,1135.93,,,,,,
NRDAS0007KO_BA,Y,289.85,,,,,,
NRDAS0007KO_BA,Z,1123.97,-0.98,0.98,-1.96,1.96,-2.95,2.95
NLSTS0140_U_BA,X,3278.24,-0.63,0.63,-1.26,1.26,-1.9,1.9
NLSTS0140_U_BA,Y,-755.22,,,,,,
