Measurand,Direction,Nominal value,Tolerance 1 -d,Tolerance 1 +d,Tolerance 2 -d,Tolerance 2 +d,Tolerance 3 -d,Tolerance 3 +d
MRBLE0007_LDLE,Z,782.74,-1,1,-2,2,-3.5,3.5
MRBLE0008_LDLE,X,2850,-1,1,-2,2,-3,3
MRBLE0008_LDLE,Y,590,-1,1,-2,2,-3,3
MRBLE0008_LDLE,Z,743,-1,1,-2,2,-3,3
MRRWH0006_VEBA,X,3213.48,-0.78,0.78,-1.56,1.56,-2.35,2.35
MRRWH0006_VEBA,Y,556.62,-0.61,0.61,-1.22,1.22,-1.82,1.82
MRRWH0006_VEBA,Z,752.2,,,,,,
MRLHB1230_LVBA,X,3430,,,,,,
MRLHB1230_LVBA,Y,645.5,-1,0.5,-2,1,-3,1.5
MRLHB1230_LVBA,Z,227.7,,,,,,
MRRWH0007_OWBA,X,3203.13,,,,,,
MRRWH0007_OWBA,Y,561.86,,,,,,
MRRWH0007_OWBA,Z,742.91,-0.98,0.98,-1.96,1.96,-7.2,6
MRLHB1231_OWBA,X,3430,,,,,,
MRLHB1231_OWBA,Y,636.5,,,,,,
MRLHB1231_OWBA,Z,218.7,-1,1,-2,2,-3,3
MRVTC0016_RVAA,X,3133.28,,,,,,
MRVTC0016_RVAA,Y,621.03,-0.97,0,-1.94,0,-2.9,2
MRVTC0016_RVAA,Z,738.22,,,,,,
MRBLE0006_LGAA,X,2971.08,,,,,,
MRBLE0006_LGAA,Y,615.59,,,0,0,-3,3
MRBLE0006_LGAA,Z,774.89,,,,,,
MRVTC0021_LVAA,X,2662.27,,,,,,
MRVTC0021_LVAA,Y,672.84,-0.5,1,-1,2,-1.5,3
MRVTC0021_LVAA,Z,719,,,,,,
MRRHI1213_RVAA,X,2605,,,,,,
